,winner_index,loser_index
1443,1321,1
1444,1,15
1445,1,152
1446,1,152
1447,1,15
1448,1,15
1449,434,168
1450,732,168
1451,872,15
1452,660,982
1453,660,982
1454,660,1073
1455,87,1345
1456,87,1345
1457,912,883
1458,883,912
1459,912,883
1460,912,883
1461,912,883
1462,912,883
1463,912,883
1464,874,1006
1465,1006,1112
1466,812,976
1467,1105,812
1468,684,812
1469,15,812
1470,1394,812
1471,15,381
1472,15,381
1473,381,797
1474,142,152
1475,142,732
1476,226,142
1477,226,142
1478,1112,601
1479,601,916
1480,601,1236
1481,601,1145
1482,601,1315
1483,601,830
1484,954,212
1485,212,278
1486,212,335
1487,212,65
1488,212,335
1489,212,1392
1490,51,497
1491,51,497
1492,38,497
1493,38,497
1494,628,497
1495,497,1093
1496,497,1328
1497,497,1328
1498,497,1328
1499,968,497
1500,497,279
1501,497,279
1502,431,497
1503,497,431
1504,431,497
1505,165,672
1506,1277,165
1507,165,672
1508,165,672
1509,672,165
1510,165,672
1511,672,165
1512,426,1182
1513,1182,426
1514,1012,1087
1515,1012,1087
1516,1087,1012
1517,1012,1087
1518,1012,1087
1519,820,1154
1520,820,1154
1521,820,1154
1522,820,1154
1523,820,1154
1524,820,1154
1525,75,1048
1526,75,1048
1527,1048,75
1528,999,75
1529,75,89
1530,89,75
1531,75,1154
1532,75,720
1533,75,915
1534,75,915
1535,75,503
1536,75,503
1537,327,10
1538,10,327
1539,10,327
1540,10,327
1541,10,327
1542,327,10
1543,10,327
1544,10,327
1545,367,644
1546,15,367
1547,1043,5
1548,1337,1043
1549,841,1043
1550,1043,4
1551,1043,4
1552,1043,4
1553,1043,1371
1554,1043,1371
1555,1043,1230
1556,242,837
1557,242,406
1558,1321,0
1559,732,0
1560,15,0
1561,55,0
1562,15,0
1563,1063,0
1564,825,0
1565,1063,0
1566,825,0
1567,825,0
1568,825,0
1569,825,0
1570,1063,0
1571,655,539
1572,82,1289
1573,1130,970
1574,970,1294
1575,308,1292
1576,1292,308
1577,308,1292
1578,308,1292
1579,308,1292
1580,308,1292
1581,15,264
1582,264,15
1583,15,264
1584,15,264
1585,15,264
1586,1288,1019
1587,543,990
1588,33,543
1589,300,543
1590,543,300
1591,778,543
1592,140,47
1593,140,47
1594,47,492
1595,47,492
1596,332,47
1597,47,822
1598,332,47
1599,822,47
1600,47,332
1601,822,47
1602,822,47
1603,47,1170
1604,47,911
1605,712,765
1606,712,1260
1607,1221,1420
1608,224,1221
1609,1209,329
1610,1209,329
1611,1209,329
1612,329,406
1613,1386,15
1614,428,193
1615,687,193
1616,687,193
1617,687,193
1618,687,193
1619,687,193
1620,687,193
1621,1011,193
1622,1011,193
1623,1011,193
1624,1011,193
1625,1011,193
1626,1011,193
1627,1357,57
1628,857,999
1629,857,1057
1630,857,893
1631,400,448
1632,448,400
1633,400,448
1634,760,281
1635,760,281
1636,760,281
1637,281,760
